number_of_dialog,start_time,end_time,dialog
371,"00:27:00,620","00:27:02,940",You'll be playing a character.
372,"00:27:12,294","00:27:12,997",No?
373,"00:27:20,801","00:27:22,152","During the act,"
374,"00:27:22,262","00:27:24,763",you can never break character.
375,"00:27:26,288","00:27:27,292",Do you understand?
376,"00:27:28,356","00:27:29,123",Yeah.
377,"00:27:29,525","00:27:30,900",Don't break character.
378,"00:27:33,396","00:27:36,661",And your character is that of The Valet.
379,"00:27:37,907","00:27:38,837",What that is?
380,"00:27:40,461","00:27:42,223",That's a fancy word for servant.
381,"00:27:42,871","00:27:43,841",Valet?
382,"00:27:45,623","00:27:47,117","And now Django,"
383,"00:27:47,454","00:27:49,752",you may choose your character's costume.
384,"00:27:52,624","00:27:54,459",Youse gonna let me pick out my own clothes?
385,"00:27:54,549","00:27:55,732",But of course.
386,"00:28:29,954","00:28:33,634",It's against the law for niggers to ride horses in this territory.
387,"00:28:33,822","00:28:36,372",This is my valet. My valet does not walk.
388,"00:28:37,294","00:28:41,164",I said niggers on horses... His name is Django.
389,"00:28:41,214","00:28:42,503",He's a free man.
390,"00:28:42,504","00:28:44,009",He can ride what he pleases.
391,"00:28:44,099","00:28:45,439",Not on my property.
392,"00:28:45,887","00:28:47,560","Not around my niggers, he can't."
393,"00:28:48,444","00:28:49,835","My good sir,"
394,"00:28:50,973","00:28:52,932",perhaps we got off on the wrong boot.
395,"00:28:53,400","00:28:55,753",Allow me to unring this bell.
396,"00:28:56,229","00:28:58,161",My name is Dr. King Schultz.
397,"00:28:58,224","00:28:59,864","This is my valet, Django."
398,"00:29:00,031","00:29:02,226","And these are our horses, Tony and Fritz."
399,"00:29:05,995","00:29:06,992",Mr. Bennett?
400,"00:29:07,539","00:29:09,373","I've been led to believe,"
401,"00:29:09,374","00:29:10,905","that you are a gentleman,"
402,"00:29:10,906","00:29:12,289",and a businessman.
403,"00:29:12,446","00:29:16,318",And it is for these attributes we've ridden from Texas to Tennessee
404,"00:29:16,320","00:29:17,694",to parley with you now.
405,"00:29:19,105","00:29:22,297",I wish to purchase one of your nigger gals.
406,"00:29:24,639","00:29:26,189","You and your Jimmie,"
407,"00:29:26,190","00:29:28,188",rode from Texas to Tennessee
408,"00:29:28,190","00:29:29,686",to buy one of my nigger gals?
409,"00:29:30,013","00:29:31,396","No appointment, no nothing?"
410,"00:29:31,986","00:29:33,402","Oh, I'm afraid so."
411,"00:29:34,021","00:29:36,293","Well, what if I was to say I don't like you?"
412,"00:29:36,660","00:29:38,167",Or your fancy-pants nigger?
413,"00:29:38,272","00:29:40,281",And I would not sell you a tinker's damn.
414,"00:29:41,149","00:29:42,635",Now what you got to say about that?
415,"00:29:45,923","00:29:47,154",Mr. Bennett.
416,"00:29:48,361","00:29:51,428","If you are the businessman I've been led to believe you to be,"
417,"00:29:51,780","00:29:52,661","I have,"
418,"00:29:52,662","00:29:56,282","5,000 things I might say that could change your mind."
419,"00:30:00,906","00:30:04,130","Well, come on inside and get yourself something cool to drink."
420,"00:30:18,735","00:30:19,697","Oh, maybe,"
